type,properties/msha_id,properties/namemsha,properties/county,tot_prod,properties/notes,properties/year,geometry/type,lon,lat
Feature,1519008,Owls Nest Job #8,Leslie,150622,,2013,Point,-83.35999999975486,37.17639999982857
Feature,1519015,E4-2,Perry,895609,,2013,Point,-83.1855999997041,37.22999999985417
Feature,1519021,Long Fork Mine,Pike,12005,,2013,Point,-82.67029999975595,37.31420000004136
Feature,1519027,Dry Branch,Clay,1871,,2013,Point,-83.79194620663516,37.30560567222082
Feature,1519039,Coal Hollow Mine,Pike,91118,,2013,Point,-82.48939999961674,37.57280000001381
Feature,1519076,Chestnut Flats,Bell,62286,,2013,Point,-83.53809999966249,36.767800000173395
Feature,1519094,Center Creek Mine,Pike,80416,,2013,Point,-82.31670000015572,37.306100000053426
Feature,1519097,Process Energy,Pike,766591,,2013,Point,-82.38419999989928,37.66529999979796
Feature,1519116,Mine #9a,Knott,976928,,2013,Point,-83.00969999997841,37.26529999984912
Feature,1519129,No. 15,Floyd,117938,,2013,Point,-82.6655999998164,37.570800000167324
Feature,1519140,Auger No 1  Sn #11,Pike,2245,,2013,Point,-82.95890000026854,37.113299999652185
Feature,1519145,No 8,Pike,118676,,2013,Point,-82.39170000007043,37.29439999973096
Feature,1519146,Diablo West Surface,Magoffin,861908,,2013,Point,-83.05690000028885,37.61470000018187
Feature,1519153,#1 Mine,Pike,70039,,2013,Point,-82.58609999997869,37.485300000032204
Feature,1519167,S-10,Pike,399069,,2013,Point,-82.13470000037469,37.488100000347025
Feature,1519170,Ky No. 5,Harlan,67113,,2013,Point,-83.51580000006396,36.86529999976865
Feature,1519176,Barger Branch Job #14,Clay,137766,,2013,Point,-83.8850000000561,37.198299999725606
Feature,1519180,M3 Energy,Pike,316117,,2013,Point,-82.39080000044515,37.669199999856836
Feature,1519181,H-4,Letcher,238499,,2013,Point,-82.54777700038896,37.28472199996018
Feature,1519187,Shm-10 (Flag Ridge),Knox,49037,,2013,Point,-82.89277700017622,37.51444399975799
Feature,1519196,#1,Pike,6884,,2013,Point,-82.53670000038461,37.548600000284594
Feature,1519199,S-4 Calloway North,Pike,42712,,2013,Point,-82.17610000020544,37.50310000026341
Feature,1519200,No. 1,Magoffin,166596,,2013,Point,-83.15060000040265,37.711100000179414
Feature,1519208,# 4,Pike,59223,,2013,Point,-82.45719999964858,37.33190000003087
Feature,1519216,Infinity #3,Harlan,23586,,2013,Point,-83.32000000003991,36.92310000022811
Feature,1519217,Midway Mine,Ohio,1319848,,2013,Point,-86.9641999996011,37.39250000009536
Feature,1519224,#1,Floyd,103788,,2013,Point,-82.8719000002597,37.70940000030174
Feature,1519226,Long Branch Surface,Johnson,109651,,2013,Point,-82.82472199969057,37.74638799988962
Feature,1519242,Redhawk #1,Floyd,558203,,2013,Point,-82.73309999955997,37.52360000026061
Feature,1519252,Mine No. 8,Letcher,112378,,2013,Point,-82.79140000033927,37.02639999992021
Feature,1519255,Montgomery Creek,Perry,264514,,2013,Point,-82.99469999963614,37.17890000035486
